topic,placeId,placeName,placeType,fips,region,date,body,confidence,sourceType,vendors,matchedTerms,tags,excerpt,sourceUrl
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-06-18,Committee of the Whole,high,legistar,,data center,,"… and Sustainability to amend Chapter 27 to Establish a Definition, Regulatory Guidelines, and Development Standards for Data Centers in M (Industrial), M-2 (Heavy Industrial), O-I (Office-Institutional), and O-D (Office-Distribution) zoning districts. …",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4477&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,coweta,Coweta County,county,13077,,2026-06-16,Board of Commissioners,high,ocr,,data center,,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3495,plainText=false)"
data-center,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-06-16,Board of Commissioners,high,ocr,,data center,,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5367&compileOutputType=1
data-center,coweta,Coweta County,county,13077,,2026-06-11,Board of Commissioners,high,ocr,,data center,,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3526,plainText=false)"
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-06-09,Board of Commissioners Work Session,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-53c50a9b577e4da3ac29045ac55a9117.pdf
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-06-09,Board of Commissioners Board Meeting,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-d5fe02f4dfb840ea8a925eabc7469a2e.pdf
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-06-09,Board of Commissioners,high,legistar,,data center,,… DeKalb County Board of Commissioners to hold a public hearing to consider and review whether to extend a moratorium on Data Centers in DeKalb County. Resolution,https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4478&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-06-09,Board of Commissioners,high,ocr,,data center,,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5146&compileOutputType=1
data-center,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-06-03,Board of Commissioners,high,legistar,,data center,,… peakers: Eric Strickland (Corporate Property Assessments); Mike Russell (Elections); LA Pink (Sheriff); Gregory Thomas (Data Centers); Maggie McCullom (Senior/Youth Recreation Centers); Janet Hill (Deed Fraud); Mike Johnson (District 5 Representative) …,https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6387&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-06-02,Committee of the Whole,high,legistar,,data center,,Data Center Discussion,https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4476&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,carroll,Carroll County,county,13045,Broader Metropolitan Statistical Area,2026-06-02,Board of Commissioners,high,ocr,,data center,,,"https://carrollcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2936,plainText=false)"
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2026-06-01,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2026_CityCouncil_0601_Minutes.pdf
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-05-26,Board of Commissioners Work Session,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-155bd2dfb58249ff9617a51ff72a5c2b.pdf
data-center,socialcircle,City of Social Circle,city,,Broader Metropolitan Statistical Area,2026-05-19,City Council,high,ocr,,data center,,,https://socialcirclecityga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2138&Inline=True
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-05-12,Board of Commissioners,high,legistar,,data center,,"… and Sustainability to amend Chapter 27 to Establish a Definition, Regulatory Guidelines, and Development Standards for Data Centers in M (Industrial), M-2 (Heavy Industrial), O-I (Office-Institutional), and O-D (Office-Distribution) zoning districts. …",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4474&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-05-12,Board of Commissioners,high,ocr,,data center,,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5343&compileOutputType=1
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-05-05,Board of Commissioners Special Called Meeting,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-2f7f15ede2484c06b95fd7021a78329a.pdf
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-05-05,Board of Commissioners Special Called Meeting,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-2e86c3dea75349e59c23de3d9b71384b.pdf
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-05-05,Committee of the Whole,high,legistar,,data center,,"… trict(s): All Commission Districts A Resolution Requiring an Independent, Third-Party Health and Environmental Study of Data Centers and Their Possible Impact on DeKalb County and Board of Commissioners Review of the Study Before DeKalb County’s Data …",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4472&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2026-05-04,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2026_CityCouncil_0504_Minutes.pdf
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-04-28,Board of Commissioners,high,legistar,,data center,,"… enly Across All Commission Districts To Support A Countywide Independent, Third-Party Health And Environmental Study Of Data Centers And Their Possible Impact On The County Not To Exceed $150,000. Resolution",https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4471&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,dekalb,DeKalb County,county,13089,Atlanta Regional Commission,2026-04-21,Committee of the Whole,high,legistar,,data center,,Discussion - Data Centers,https://dekalbcountyga.legistar.com/MeetingDetail.aspx?LEGID=4470&GID=570&G=38B42E79-166F-4337-AE30-3665ECD50E7A
data-center,socialcircle,City of Social Circle,city,,Broader Metropolitan Statistical Area,2026-04-02,City Council,high,ocr,,data center,,,https://socialcirclecityga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2131&Inline=True
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-03-24,Board of Commissioners Board Meeting,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-2a85e3a9089548aeaa7e339b11edcddb.pdf
data-center,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-03-18,Board of Commissioners,high,legistar,,data center,,"… range a speaking date, contact the Clerk’s Office. (CONDUCTED) 14 Speakers: LA Pink (Fulton Corruption); Merlon Pierce (Data Centers/Chem Trails); Joyce Farmer (Fulton County Jail/Sheriff); Dr. Valerie Montgomery Rice (#26-0156); Jeromey Beaman (#26-0 …",https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6380&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
data-center,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-03-17,Board of Commissioners,high,ocr,,data center,,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=5069&compileOutputType=1
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2026-03-16,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2026_CityCouncil_0316_Minutes.pdf
data-center,douglas,Douglas County,county,13097,Atlanta Regional Commission,2026-03-03,Planning & Zoning,high,ocr,,data center,,,"https://douglascountyga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=7192,plainText=false)"
data-center,henry,Henry County,county,13151,Atlanta Regional Commission,2026-02-17,Board of Commissioners,high,ocr,,data center,,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2424,plainText=false)"
data-center,clayton,Clayton County,county,13063,Atlanta Regional Commission,2026-02-17,Board of Commissioners,high,ocr,,data center,,,https://claytoncountyga.primegov.com/Public/CompiledDocument?meetingTemplateId=4571&compileOutputType=1
data-center,fulton,Fulton County,county,13121,Atlanta Regional Commission,2026-02-04,Board of Commissioners,high,legistar,,data center,,Discussion: Commercial Property and Data Center Valuations (Pitts) (DISCUSSED) Commissioners Presentation/Discussion,https://fulton.legistar.com/MeetingDetail.aspx?LEGID=6376&GID=817&G=197058BF-F352-4423-BE44-04DFABBD8188
data-center,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-01-27,Board of Commissioners Work Session,high,ocr,,data center,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-ed4790474e7449b4b3f9c22134c2a109.pdf
data-center,socialcircle,City of Social Circle,city,,Broader Metropolitan Statistical Area,2026-01-20,City Council,high,ocr,,data center,,,https://socialcirclecityga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2119&Inline=True
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2026-01-20,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2026_CityCouncil_0120_Minutes.pdf
data-center,henry,Henry County,county,13151,Atlanta Regional Commission,2026-01-06,Board of Commissioners,high,ocr,,data center,,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2394,plainText=false)"
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2026-01-05,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2026_CityCouncil_0105_Minutes.pdf
data-center,socialcircle,City of Social Circle,city,,Broader Metropolitan Statistical Area,2025-12-16,City Council,high,ocr,,data center,,,https://socialcirclecityga.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=2111&Inline=True
data-center,coweta,Coweta County,county,13077,,2025-12-16,Board of Commissioners,high,ocr,,data center,,,"https://cowetacoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3070,plainText=false)"
data-center,covington,City of Covington,city,,Broader Metropolitan Statistical Area,2025-12-15,City Council,high,ocr,,data center,,,https://cityofcovington.org/ckeditorfiles/files/2025_CityCouncil_1215_Minutes.pdf
